feature,coefficient,abs_coefficient
disruption_likelihood_score,-57.56350586044203,57.56350586044203
day_of_week,0.5437083133629603,0.5437083133629603
delivery_time_deviation,-0.3412592050018713,0.3412592050018713
hour,0.33630344289028913,0.33630344289028913
fuel_consumption_rate,-0.3224256181490011,0.3224256181490011
is_weekend,-0.3214018839428627,0.3214018839428627
supplier_reliability_score,-0.2864545094538113,0.2864545094538113
traffic_congestion_level,-0.27392847969380685,0.27392847969380685
warehouse_inventory_level,-0.25759220483510614,0.25759220483510614
order_fulfillment_status,0.2426338838585231,0.2426338838585231
handling_equipment_availability,0.24259538731660116,0.24259538731660116
port_congestion_level,-0.20482716678721216,0.20482716678721216
month,-0.20458871205165863,0.20458871205165863
delay_probability,0.18976385092839523,0.18976385092839523
quarter,0.18467303286253914,0.18467303286253914
shipping_costs,0.13888683647237904,0.13888683647237904
fatigue_monitoring_score,0.12366796282101702,0.12366796282101702
vehicle_gps_latitude,-0.11755703588948228,0.11755703588948228
historical_demand,0.07049118909565856,0.07049118909565856
vehicle_gps_longitude,-0.05847660016382331,0.05847660016382331
loading_unloading_time,-0.03376634294578199,0.03376634294578199
driver_behavior_score,0.015429615845024273,0.015429615845024273
cargo_condition_status,0.005857481836250181,0.005857481836250181
eta_variation_hours,-0.002762924394860691,0.002762924394860691
route_risk_level,6.845838238665761e-06,6.845838238665761e-06
weather_condition_severity,5.373543457673091e-06,5.373543457673091e-06
iot_temperature,4.150723879690055e-06,4.150723879690055e-06
customs_clearance_time,0.0,0.0
lead_time_days,0.0,0.0
