,count,unique,top,freq,mean,std,min,25%,50%,75%,max
vehicle_gps_latitude,32065.0,,,,38.02358900858676,6.917908997912243,30.00000000000937,31.28054974737365,36.41382018655116,44.4536551271878,49.99999974528573
vehicle_gps_longitude,32065.0,,,,-90.11664767718246,17.369244180318997,-119.99999842346357,-106.2539128575773,-86.29341367981668,-73.07936735809113,-70.00000000027708
fuel_consumption_rate,32065.0,,,,8.011734983479823,4.264960102236597,5.0,5.019983855498004,5.636035817632568,9.66994368595577,19.99987521068584
eta_variation_hours,32065.0,,,,2.893068010097417,2.2740439361901226,-1.999993096796247,1.185743666552098,3.882059226946552,4.884355037824268,4.999999999999999
traffic_congestion_level,32065.0,,,,4.9914932089194375,3.5320478435888414,1.0916326575415083e-09,1.4747202378870794,4.981244166033586,8.534901572274176,9.999999450021503
warehouse_inventory_level,32065.0,,,,299.2547323420757,323.44351338903783,1.3222098085915766e-12,16.05163497208946,157.28802154512064,540.5979910503739,999.9992984582192
loading_unloading_time,32065.0,,,,2.2916691620610625,1.5542018283696097,0.5000000002939576,0.7747983189770911,1.9171212962803543,3.734188222114869,4.999999764318551
handling_equipment_availability,32065.0,,,,0.30269539742361384,0.32591464332247,4.565768935154056e-16,0.0171082761909705,0.1595150876366321,0.5535953527055119,0.9999994924514408
order_fulfillment_status,32065.0,,,,0.6007395524245416,0.3456721231025694,1.3177636062343215e-06,0.2770958787644277,0.6805529540380978,0.9381597817085164,0.999999999580062
weather_condition_severity,32065.0,,,,0.4976081693007696,0.3532853116376669,4.536948802796939e-09,0.1440135313211877,0.4961781478769314,0.8498225627423648,0.9999999970281211
port_congestion_level,32065.0,,,,6.978413809788448,3.251050980657478,1.7786653117737469e-06,4.513889121081817,8.383225336980033,9.838149899917338,10.0
shipping_costs,32065.0,,,,459.3744517974708,312.1834874120217,100.00000000270798,154.01712360274843,388.99691118908765,753.0072031167292,999.9998534356176
supplier_reliability_score,32065.0,,,,0.5008498907839203,0.3535280978368255,6.90431900667656e-10,0.1453158349818406,0.503265508252994,0.8539779602772272,0.9999999894791904
lead_time_days,32065.0,,,,5.227502056448464,4.523084998623348,1.0,1.237489942489754,3.2976536222606923,8.625720436324682,14.999995477940352
historical_demand,32065.0,,,,6022.001285695366,3427.638016660527,100.0029656047095,2822.6076158796195,6785.123208753539,9374.252912920703,9999.9999997523
iot_temperature,32065.0,,,,0.04479167014341597,14.187486288456144,-10.0,-9.931074083468676,-7.858681308881727,6.024012275485564,39.99988649386724
cargo_condition_status,32065.0,,,,0.2972816030232534,0.32161145247383216,7.255414878683799e-19,0.0167826907463505,0.1549759726564307,0.5405407554727024,0.9999999827710112
route_risk_level,32065.0,,,,7.001144357407852,3.2363277675258373,4.9681852615333446e-05,4.593407010467818,8.385604983635632,9.836151949347808,9.999999999999986
customs_clearance_time,32065.0,,,,2.2964477942816313,1.5559320977195037,0.5000000010386003,0.7761661910050828,1.9382733484967636,3.750817222432603,4.999999927566654
driver_behavior_score,32065.0,,,,0.49839127313394704,0.35415887042423944,4.0439268764785506e-09,0.1443566881968539,0.4988468217889371,0.8510762296226078,0.9999999999998206
fatigue_monitoring_score,32065.0,,,,0.600872299354945,0.34581010940362933,3.269508178898524e-07,0.2783147719623154,0.6831130237993429,0.9372888848984458,0.9999999999968756
disruption_likelihood_score,32065.0,,,,0.803655566979687,0.27918463151811046,4.769048305007559e-05,0.6937390881967523,0.9581281097212876,0.998745517953093,1.0
delay_probability,32065.0,,,,0.6990768456604328,0.3245143823556463,3.12874583791758e-06,0.4560092387732056,0.8395986077324338,0.9823911508236702,1.0
risk_classification,32065,3,High Risk,23944,,,,,,,
delivery_time_deviation,32065.0,,,,5.177648068922157,4.1579879272885645,-1.9999979891152304,1.269197245537716,6.1136617982342045,9.249205980119978,9.99999999998948
